"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Ptp4a3"	1.08668615422362e-27	-0.83743455693785	0.426	0.538	2.17337230844724e-24	"0"	"Ptp4a3"
"Idh3a"	1.71769572881953e-27	-0.676944940146883	0.495	0.672	3.43539145763906e-24	"0"	"Idh3a"
"Cox7b"	1.98028327307898e-27	-0.871469290605751	0.87	0.784	3.96056654615797e-24	"0"	"Cox7b"
"1810011O10Rik"	8.11414837329538e-27	-0.516847164200595	0.092	0.307	1.62282967465908e-23	"0"	"1810011O10Rik"
"Cisd1"	1.04131076559463e-24	-0.657832038070721	0.567	0.722	2.08262153118927e-21	"0"	"Cisd1"
"Has1"	1.33137462774626e-24	-0.598312660409491	0.418	0.603	2.66274925549252e-21	"0"	"Has1"
"Atp5f1"	8.32806502998461e-24	-0.586782175669686	0.9	0.805	1.66561300599692e-20	"0"	"Atp5f1"
"Fabp3"	3.14959741770685e-21	-1.12052712895308	0.124	0.37	6.2991948354137e-18	"0"	"Fabp3"
"Atp5c1"	4.71378820944322e-20	-0.638094097585498	0.905	0.81	9.42757641888643e-17	"0"	"Atp5c1"
"Mdh2"	1.0734637812305e-19	-0.563241531300022	0.761	0.707	2.146927562461e-16	"0"	"Mdh2"
"Ndufa12"	1.54139760603889e-19	-0.747931677844444	0.622	0.643	3.08279521207779e-16	"0"	"Ndufa12"
"Slc6a6"	3.49472465416695e-19	-0.555252625725891	0.305	0.481	6.9894493083339e-16	"0"	"Slc6a6"
"Ndufc1"	6.86595928430901e-19	-0.874366020046065	0.801	0.731	1.3731918568618e-15	"0"	"Ndufc1"
"Slc9a3r2"	2.11692759770605e-17	-0.753480854215839	0.26	0.387	4.23385519541211e-14	"0"	"Slc9a3r2"
"Actn3"	4.35966508803863e-16	-1.76766067496339	0.137	0.391	8.71933017607726e-13	"0"	"Actn3"
"Ndufb9"	1.48573041342349e-15	-0.709394355248934	0.91	0.805	2.97146082684698e-12	"0"	"Ndufb9"
"Atp5o"	1.61538644313922e-15	-0.714582866059934	0.838	0.771	3.23077288627844e-12	"0"	"Atp5o"
