"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Mt2"	2.45302022420987e-281	1.15271876787735	0.872	0.669	4.90604044841974e-278	"1"	"Mt2"
"Adam33"	2.25722654351207e-278	0.662141373109654	0.75	0.518	4.51445308702414e-275	"1"	"Adam33"
"Gnpnat1"	1.12074899757104e-277	0.672149420008211	0.72	0.376	2.24149799514209e-274	"1"	"Gnpnat1"
"Vim"	2.51091834346493e-276	0.548152013194671	0.998	0.837	5.02183668692986e-273	"1"	"Vim"
"Car8.1"	3.14621659185724e-267	0.595247707548633	0.634	0.233	6.29243318371447e-264	"1"	"Car8"
"Gan"	7.3746948088414e-265	0.595000779829407	0.645	0.378	1.47493896176828e-261	"1"	"Gan"
"Pmepa1"	1.15219955280098e-263	0.591417750240425	0.932	0.759	2.30439910560196e-260	"1"	"Pmepa1"
"Ckb"	6.10328581651943e-263	0.529132257725372	0.9	0.491	1.22065716330389e-259	"1"	"Ckb"
"Mt1.1"	4.68132136381015e-261	0.746081207299725	0.973	0.805	9.3626427276203e-258	"1"	"Mt1"
"Mmp23"	4.56811213688542e-258	0.580655305028311	0.725	0.51	9.13622427377084e-255	"1"	"Mmp23"
"Ccdc80"	2.56746712009241e-257	0.749266083426223	0.827	0.612	5.13493424018483e-254	"1"	"Ccdc80"
"Tnfaip6"	1.90534861937657e-252	1.52151475647685	0.806	0.64	3.81069723875315e-249	"1"	"Tnfaip6"
"Flrt2"	1.4642289172809e-247	0.576399260553242	0.69	0.469	2.9284578345618e-244	"1"	"Flrt2"
"Smpd3"	9.7710352021629e-245	0.611498658341303	0.603	0.381	1.95420704043258e-241	"1"	"Smpd3"
"D630033O11Rik"	6.55619562285431e-243	0.787866975946	0.655	0.345	1.31123912457086e-239	"1"	"D630033O11Rik"
"Sulf1"	6.03052182773533e-239	0.544010565708039	0.846	0.618	1.20610436554707e-235	"1"	"Sulf1"
"Tmem158.1"	1.23316576814401e-232	0.680646927325941	0.694	0.464	2.46633153628802e-229	"1"	"Tmem158"
"Enpp2.1"	7.04839568776299e-227	0.516015867258307	0.868	0.63	1.4096791375526e-223	"1"	"Enpp2"
"Sbsn.1"	4.00705417854206e-220	1.44061299786948	0.551	0.3	8.01410835708412e-217	"1"	"Sbsn"
"Prss23.1"	1.14010924583692e-209	0.654748862948964	0.861	0.653	2.28021849167384e-206	"1"	"Prss23"
"Plat.1"	4.13072892176146e-207	0.554743893045561	0.84	0.635	8.26145784352293e-204	"1"	"Plat"
"Tgfb2"	6.78915928535615e-206	0.50679460895086	0.819	0.63	1.35783185707123e-202	"1"	"Tgfb2"
